"Omzetgroep naam";"Product Name";"Aantal";"Netto omzet incl. btw";"Netto omzet excl. btw";"Btw";"Btw code";"Korting"
"Bier";"Leffe Blond";"6.00";"28.50";"23.58";"4.92";"21.00";"0.00"
"Bier";"Warsteiner";"2.00";"7.50";"6.20";"1.30";"21.00";"0.00"
"Broodjes";"Broodje Gegrilde Groente";"4.00";"33.00";"30.28";"2.72";"9.00";"0.00"
"Broodjes";"Kadet Kroket ";"25.00";"148.75";"136.50";"12.25";"9.00";"0.00"
"Broodjes";"Kadet jam/hagelslag ";"1.00";"2.75";"2.52";"0.23";"9.00";"0.00"
"Gebak";"Appelflap";"7.00";"22.75";"20.86";"1.89";"9.00";"0.00"
"Gebak";"Appeltaart";"22.00";"93.50";"85.80";"7.70";"9.00";"0.00"
"Gebak";"Carrot Cake";"25.00";"98.75";"90.50";"8.25";"9.00";"0.00"
"Gebak";"Gevulde Koek";"7.00";"21.70";"19.88";"1.82";"9.00";"0.00"
"Gebak";"Meringue  (glutenarm)";"36.00";"189.00";"173.52";"15.48";"9.00";"0.00"
"Gebak";"Slagroom";"11.00";"5.50";"5.06";"0.44";"9.00";"0.00"
"Ijs";"Cornetto";"2.00";"5.00";"4.58";"0.42";"9.00";"0.00"
"Ijs";"Magnum Classic";"1.00";"3.50";"3.21";"0.29";"9.00";"0.00"
"Ijs";"Magnum White";"4.00";"14.00";"12.84";"1.16";"9.00";"0.00"
"Ijs";"Solero";"1.00";"2.95";"2.71";"0.24";"9.00";"0.00"
"Ijs";"Twister Marshmallow";"1.00";"1.75";"1.61";"0.14";"9.00";"0.00"
"Kleine trek";"Saucijzenbroodje";"27.00";"106.65";"97.74";"8.91";"9.00";"0.00"
"Koude Dranken";"Bitter Lemon";"2.00";"6.50";"5.96";"0.54";"9.00";"0.00"
"Koude Dranken";"Chaudfontaine Blauw PET";"10.00";"33.50";"30.70";"2.80";"9.00";"0.00"
"Koude Dranken";"Chaudfontaine Rood";"2.00";"6.50";"5.96";"0.54";"9.00";"0.00"
"Koude Dranken";"Chocomel";"5.00";"16.25";"14.90";"1.35";"9.00";"0.00"
"Koude Dranken";"Coca Cola";"8.00";"26.00";"23.84";"2.16";"9.00";"0.00"
"Koude Dranken";"Coca Cola Zero";"5.00";"16.25";"14.90";"1.35";"9.00";"0.00"
"Koude Dranken";"Fanta";"2.00";"6.50";"5.96";"0.54";"9.00";"0.00"
"Koude Dranken";"Fristi";"5.00";"16.25";"14.90";"1.35";"9.00";"0.00"
"Koude Dranken";"Fuze Tea - Green";"5.00";"16.25";"14.90";"1.35";"9.00";"0.00"
"Koude Dranken";"Fuze Tea - Sparkling Lemon";"1.00";"3.25";"2.98";"0.27";"9.00";"0.00"
"Koude Dranken";"Rivella ";"2.00";"6.50";"5.96";"0.54";"9.00";"0.00"
"Koude Dranken";"Schulp | Appel";"8.00";"28.00";"25.68";"2.32";"9.00";"0.00"
"Koude Dranken";"Schulp | Appel/Cranberry";"6.00";"21.00";"19.26";"1.74";"9.00";"0.00"
"Koude Dranken";"Schulp | Appel/Kersen";"4.00";"14.00";"12.84";"1.16";"9.00";"0.00"
"Koude Dranken";"Schulp | Sinaasappel";"2.00";"7.00";"6.42";"0.58";"9.00";"0.00"
"Snacks";"Kroket";"3.00";"11.40";"10.47";"0.93";"9.00";"0.00"
"Snoep";"Chips";"9.00";"17.55";"16.11";"1.44";"9.00";"0.00"
"Soepen";"Tomatensoep";"13.00";"90.35";"82.94";"7.41";"9.00";"0.00"
"Warme Dranken";"Cappuccino";"57.00";"199.50";"182.97";"16.53";"9.00";"0.00"
"Warme Dranken";"Dubbele Espresso ";"2.00";"9.00";"8.26";"0.74";"9.00";"0.00"
"Warme Dranken";"Espresso";"1.00";"3.25";"2.98";"0.27";"9.00";"0.00"
"Warme Dranken";"Koffie";"53.00";"172.25";"157.94";"14.31";"9.00";"0.00"
"Warme Dranken";"Koffie Verkeerd";"4.00";"14.00";"12.84";"1.16";"9.00";"0.00"
"Warme Dranken";"Latte Macchiato";"15.00";"63.75";"58.50";"5.25";"9.00";"0.00"
"Warme Dranken";"Thee";"14.00";"45.50";"41.72";"3.78";"9.00";"0.00"
"Warme Dranken";"Thee | Verse gember";"7.00";"27.65";"25.34";"2.31";"9.00";"0.00"
"Warme Dranken";"Thee | Verse munt";"11.00";"43.45";"39.82";"3.63";"9.00";"0.00"
"Warme Dranken";"Warme chocomel";"5.00";"16.25";"14.90";"1.35";"9.00";"0.00"
"Wijn";"Rosé Wijn - Mr Paul | Cinsualt Rosé";"1.00";"6.95";"5.74";"1.21";"21.00";"0.00"
"Wijn";"Witte Wijn - Mr Paul | Sauvignon Blanc";"3.00";"20.85";"17.22";"3.63";"21.00";"0.00"
"Wraps";"Wrap Zalm";"2.00";"14.50";"13.30";"1.20";"9.00";"0.00"
