"Omzetgroep naam";"Product Name";"Aantal";"Netto omzet incl. btw";"Netto omzet excl. btw";"Btw";"Btw code";"Korting"
"Broodjes";"Broodje Bal (in jus)";"4.00";"34.00";"31.20";"2.80";"9.00";"0.00"
"Broodjes";"Broodje Gegrilde Groente";"4.00";"33.00";"30.28";"2.72";"9.00";"0.00"
"Broodjes";"Croissant (belegd)";"3.00";"18.75";"17.19";"1.56";"9.00";"0.00"
"Broodjes";"Oerbrood Kroket";"3.00";"20.85";"19.14";"1.71";"9.00";"0.00"
"Broodjes";"Pretzel Mortadella";"2.00";"17.00";"15.60";"1.40";"9.00";"0.00"
"Gebak";"American Cookie (voorverpakt)";"1.00";"2.95";"2.71";"0.24";"9.00";"0.00"
"Gebak";"Appelflap";"1.00";"3.25";"2.98";"0.27";"9.00";"0.00"
"Gebak";"Appeltaart";"4.00";"17.00";"15.60";"1.40";"9.00";"0.00"
"Gebak";"Carrot Cake";"2.00";"7.90";"7.24";"0.66";"9.00";"0.00"
"Gebak";"Meringue  (glutenarm)";"10.00";"52.50";"48.20";"4.30";"9.00";"0.00"
"Gebak";"Plaatgebak  (vegan,  lactosearm)";"2.00";"9.50";"8.72";"0.78";"9.00";"0.00"
"Gebak";"Slagroom";"2.00";"1.00";"0.92";"0.08";"9.00";"0.00"
"Ijs";"Cornetto";"1.00";"2.50";"2.29";"0.21";"9.00";"0.00"
"Kleine trek";"Kaasbroodje";"2.00";"7.90";"7.24";"0.66";"9.00";"0.00"
"Kleine trek";"Saucijzenbroodje";"9.00";"35.55";"32.58";"2.97";"9.00";"0.00"
"Koude Dranken";"Bitter Lemon";"2.00";"6.50";"5.96";"0.54";"9.00";"0.00"
"Koude Dranken";"Chaudfontaine Blauw PET";"3.00";"10.05";"9.21";"0.84";"9.00";"0.00"
"Koude Dranken";"Chaudfontaine Rood";"2.00";"6.50";"5.96";"0.54";"9.00";"0.00"
"Koude Dranken";"Coca Cola";"1.00";"3.25";"2.98";"0.27";"9.00";"0.00"
"Koude Dranken";"Fuze Tea - Green";"1.00";"3.25";"2.98";"0.27";"9.00";"0.00"
"Koude Dranken";"Pink Aromatic Berries";"1.00";"3.25";"2.98";"0.27";"9.00";"0.00"
"Koude Dranken";"Rivella ";"1.00";"3.25";"2.98";"0.27";"9.00";"0.00"
"Koude Dranken";"Schulp | Appel/Cranberry";"2.00";"7.00";"6.42";"0.58";"9.00";"0.00"
"Salades";"Salade Parelcouscous";"3.00";"35.85";"32.88";"2.97";"9.00";"0.00"
"Snacks";"Mosterd zakje";"1.00";"0.50";"0.46";"0.04";"9.00";"0.00"
"Soepen";"Seizoenssoep";"4.00";"30.00";"27.52";"2.48";"9.00";"0.00"
"Soepen";"Tomatensoep";"7.00";"48.65";"44.66";"3.99";"9.00";"0.00"
"Warme Dranken";"Cappuccino";"24.00";"84.00";"77.04";"6.96";"9.00";"0.00"
"Warme Dranken";"Espresso";"1.00";"3.25";"2.98";"0.27";"9.00";"0.00"
"Warme Dranken";"Koffie";"21.00";"68.25";"62.58";"5.67";"9.00";"0.00"
"Warme Dranken";"Koffie Verkeerd";"5.00";"17.50";"16.05";"1.45";"9.00";"0.00"
"Warme Dranken";"Latte Macchiato";"5.00";"21.25";"19.50";"1.75";"9.00";"0.00"
"Warme Dranken";"Thee";"13.00";"42.25";"38.74";"3.51";"9.00";"0.00"
"Warme Dranken";"Thee | Verse munt";"1.00";"3.95";"3.62";"0.33";"9.00";"0.00"
"Warme Dranken";"Warme chocomel";"3.00";"9.75";"8.94";"0.81";"9.00";"0.00"
"Wraps";"Wrap Zalm";"9.00";"65.25";"59.85";"5.40";"9.00";"0.00"
